,Vmag,Plx,e_Plx,B-V,SpType,Class,Abs_Vmag,L,T,R
2121,9.45,4.27,1.35,0.381,F0V,Dwarf,2.602139375125118,7.783734145716243,7500.0,1152337376.924504
2122,7.34,2.38,0.93,1.483,K4III,Giant,-0.7771152147174405,174.96701471574494,4400.0,15873800450.934752
2123,9.08,8.85,1.12,0.526,F7V,Dwarf,3.8147163534891284,2.547612632904789,6450.0,891364730.8489316
2124,9.31,6.51,1.2,0.226,A9V,Dwarf,3.3779049428409618,3.8094873418964754,7750.0,754984509.2922034
2125,9.65,3.05,1.65,1.2,K0III,Giant,2.07149919673393,12.689791446956125,5000.0,3310513872.816899
2126,9.22,6.86,0.9,0.368,F3V,Dwarf,3.401620578533759,3.727175261641453,7050.0,902443148.3229283
2127,9.53,9.32,6.16,0.785,G8/K0V,Dwarf,4.377079561769905,1.5176690178964503,5200.0,1058497960.1782491
2128,3.41,13.94,0.64,1.542,K5II-III,Giant,-0.8686861311900476,190.36466835161193,4250.0,17746940435.323444
2129,8.17,8.3,1.08,0.361,F0V,Dwarf,2.7653904618803686,6.697062530904199,7500.0,1068877237.8592781
2130,9.62,26.64,1.4,1.128,K5V,Dwarf,6.747671102491317,0.17095976233417084,4250.0,531835436.31189096
2131,9.06,6.43,1.25,0.404,F0V,Dwarf,3.1010548646211102,4.916001447624152,7500.0,915781050.4435639
2132,7.59,6.41,0.89,0.972,K0III,Giant,1.6242901475940865,19.15785514963074,5000.0,4067631599.131916
2133,9.03,3.85,1.46,1.263,K2III,Giant,1.9573036475425027,14.097267690556668,4700.0,3948934551.30781
2134,6.39,12.01,0.84,1.143,K1III,Giant,1.7877150370145305,16.480626635411422,4850.0,4009697055.444929
2135,9.06,1.28,4.29,0.57,G3V,Dwarf,-0.4039501517606574,124.07458454191215,5700.0,7965258633.214933
2136,8.86,9.46,1.18,0.66,G3V,Dwarf,3.7394556820089626,2.7304808821342457,5700.0,1181620555.0492184
2137,8.49,5.7,0.88,0.279,A8III,Giant,2.2693742783624575,10.57549165073583,8000.0,1180533968.3577833
2138,9.6,25.59,1.39,0.958,K2V,Dwarf,6.640351429435927,0.18872258728309826,4700.0,456903414.4397163
2139,5.93,8.68,0.71,1.037,K0III,Giant,0.6225986258824605,48.19956982652489,5000.0,6451931546.0217
2140,9.0,1.88,0.82,1.393,K2/K3III:,Giant,0.3707892463184006,60.78156224160856,4700.0,8199708090.960438
2141,7.46,3.8,0.89,1.214,K1III,Giant,0.35891798308405143,61.4498174067878,4850.0,7742567489.740071
2142,9.18,0.46,1.24,1.168,K2III,Giant,-2.5062108415921323,860.2573335858883,4700.0,30847974585.916817
2143,8.16,2.48,1.17,0.909,G8III,Giant,0.13225840413108259,75.71621204476426,5200.0,7476458562.617823
2144,8.02,4.4,0.86,0.97,G4III,Giant,1.2372633824309371,27.36309326101957,5600.0,3875383802.8970494
2145,8.03,9.53,1.19,0.515,K0:III:+...,Giant,2.9254645031916304,5.778985361857633,5000.0,2234055546.5839667
2146,7.39,5.84,0.92,1.074,K2III,Giant,1.222064235561998,27.748860129298176,4700.0,5540322384.69016
2147,10.03,3.31,1.41,0.493,F3/F5V,Dwarf,2.6291399688785937,7.592542410414363,7050.0,1288022820.680242
2148,9.8,5.68,1.44,0.406,F2V,Dwarf,3.571741678555094,3.1866035422086494,7200.0,800031713.5257201
2149,8.99,1.22,1.14,1.704,M2III:,Giant,-0.5782008466262578,145.67550390401857,3300.0,25749782393.401157
2150,6.94,0.22,0.78,0.059,B1III,Giant,-6.347886595888969,29605.61702727003,23500.0,7238682236.42975
2151,7.45,34.3,0.89,0.726,G8V,Dwarf,5.126470600213851,0.7610372925328738,5200.0,749556648.3330536
2152,7.56,13.5,4.6,0.676,G1V,Dwarf,3.2116688424750297,4.439808507482632,5900.0,1406326870.1268249
2153,7.89,6.87,1.2,1.115,K1III,Giant,2.074783685297753,12.651459359321423,4850.0,3513136414.1276846
2154,7.43,8.34,1.04,0.325,F0III,Giant,2.035830253188694,13.113625063366419,7500.0,1495708745.2106488
2155,9.13,8.77,2.31,0.514,F7/F8V:,Dwarf,3.8449979668302046,2.477537027419384,6450.0,879020140.9266831
2156,8.8,6.35,1.05,0.325,F2Vs,Dwarf,2.813868626459879,6.404601847360215,7200.0,1134198983.6332994
2157,7.39,2.53,0.57,-0.018,B9IV,Dwarf,-0.5943973941209091,147.8650267026593,11500.0,2136216330.8062735
2158,9.38,6.04,1.21,0.338,A9V,Dwarf,3.285184693105659,4.1491243920316165,7750.0,787921590.5455282
2159,10.1,3.94,1.55,0.573,F7/F8V+...,Dwarf,3.07748110912787,5.023911347310041,6450.0,1251727324.703749
2160,8.29,5.67,0.98,0.911,K1III/IV,Dwarf,2.0579152944645323,12.849561646501776,4850.0,3540534718.4256887
2161,9.32,4.32,1.37,0.549,F6V,Dwarf,2.497418734074561,8.571923899146967,6600.0,1561562822.4021401
2162,8.85,2.62,1.16,1.113,K1III,Giant,0.941506456598729,35.93136931981911,4850.0,5920543623.066749
2163,7.8,4.02,0.82,0.363,F0III,Giant,0.8211302654223509,40.144551311769376,7500.0,2616971276.0345516
2164,9.15,2.56,1.17,0.972,G8IV,Dwarf,1.1911998265592487,28.549040549918786,5200.0,4590893836.946718
2165,8.15,6.15,1.0,0.425,F3V,Dwarf,2.0943755788770844,12.425202706747704,7050.0,1647713446.3171728
2166,6.95,8.7,0.85,0.561,F8IV,Dwarf,1.6475962630930923,18.750980469407487,6300.0,2534772987.617336
2167,7.95,3.52,0.93,1.415,M5III,Giant,0.6827133173906557,45.60328262735148,3000.0,17432662479.559433
2168,9.68,3.53,1.42,0.326,A9V,Dwarf,2.4188735269391124,9.215055004306157,7750.0,1174231534.6081555
2169,8.55,1.78,1.18,1.341,K2/K3III,Giant,-0.19789998845552859,102.62631111047257,4700.0,10654714619.774952
2170,8.17,4.72,1.16,0.995,K0III,Giant,1.5397099931704403,20.710024267552164,5000.0,4229202436.2973237
2171,8.54,1.65,1.08,1.101,K0III,Giant,-0.3725802789304691,120.54085415844942,5000.0,10203174214.85806
2172,9.12,8.1,1.18,0.666,G3V,Dwarf,3.6624250943932477,2.931250186236918,5700.0,1224291716.1839154
2173,7.75,4.71,0.89,1.152,K2III,Giant,1.1151045356444804,30.62182907078008,4700.0,5820067567.802446
2174,8.84,2.31,1.44,1.05,K1III,Giant,0.6580598994607225,46.65067763071146,4850.0,6746114056.905348
2176,7.83,1.88,0.84,1.215,K2III,Giant,-0.7992107536815993,178.56438049705181,4700.0,14054321315.182924
2177,6.75,8.41,0.68,0.444,F3/F5IV,Dwarf,1.37397997898956,24.125474709747163,7050.0,2295978824.4821434
2178,7.57,3.09,0.82,1.302,K5III,Giant,0.019792397124174244,83.98031318211358,4250.0,11787428280.735512
2179,5.13,14.83,0.86,0.071,A3V,Dwarf,0.9857057551419093,34.49794146148498,9250.0,1594855364.2519472
2180,7.44,6.1,0.67,0.443,F3V,Dwarf,1.366649175053837,24.28892719477998,7050.0,2303743437.355351
2181,4.77,15.54,0.82,0.998,K0IIIvar,Giant,0.7272550723244766,43.770199766843064,5000.0,6148333748.781188
2182,6.9,4.84,0.54,0.01,G8III,Giant,0.32422680822206296,63.44505056713091,5200.0,6843848153.500851
2183,7.83,1.12,0.83,1.311,G8III,Giant,-1.923909886649092,503.148946992538,5200.0,19273020142.198944
2184,6.84,6.28,0.93,0.989,K0III,Giant,0.8297982186859798,39.825318410463225,5000.0,5864726965.654181
2185,7.8,2.69,0.95,1.205,K2III,Giant,-0.05123859998795943,89.65846173594123,4700.0,9958825079.738298
2186,8.02,34.52,1.04,0.87,K0IV,Dwarf,5.71035393521586,0.44446865624186865,5000.0,619567659.0934929
2187,9.7,8.82,1.54,0.624,F8/G0V,Dwarf,4.427342925659099,1.4490078422138826,6300.0,704632138.4104009
2188,6.92,3.62,0.98,1.289,K2/K3III,Giant,-0.28645714733417016,111.34823078367477,4700.0,11098240277.372177
2189,9.47,8.41,1.17,0.563,G0V,Dwarf,4.093979978989561,1.9698014835707298,6000.0,905767863.308238
2190,9.66,3.53,1.48,0.47,F2V,Dwarf,2.398873526939113,9.38638415526034,7200.0,1373068955.059495
2191,6.06,11.89,0.67,0.446,F5III/IV,Dwarf,1.435909273093456,22.787828061117825,6750.0,2434176693.156467
2192,8.52,16.26,0.98,0.687,G3V,Dwarf,4.575602706290248,1.2640490092800045,5700.0,803971073.7322814
2193,6.2,23.87,0.65,0.404,F3/F5IV/V,Dwarf,3.089262095033771,4.9696904850839285,7050.0,1042064534.1008071
2194,5.88,6.54,1.0,1.52,K5III,Giant,-0.04211125837866447,88.9078621722136,4250.0,12128313160.406424
2195,8.6,18.51,1.19,0.763,G8V,Dwarf,4.93703209376452,0.9061186325549129,5200.0,817888349.124214
2196,5.55,14.67,1.72,-0.048,A0Vn,Dwarf,1.3821505692164138,23.944593638073954,10000.0,1136872899.5627036
2197,8.69,3.59,1.14,1.118,K0III,Giant,1.465472242891595,22.175691210747782,5000.0,4376296643.535962
2198,7.37,4.73,0.58,1.08,K0III,Giant,0.7443057036890579,43.088159271228456,5000.0,6100243074.039616
2199,8.85,1.28,1.38,1.012,K0III,Giant,-0.6139501517606583,150.55214690410864,5000.0,11402803656.734232
2200,9.54,3.37,0.88,0.484,F3/F5V,Dwarf,2.1781495043566927,11.502500677439446,7050.0,1585353363.1626096
2201,8.97,7.11,0.88,0.491,F5V,Dwarf,3.2293480036488322,4.368096532277351,6750.0,1065728908.8288682
2202,6.75,6.97,0.88,1.015,K0III,Giant,0.9661638904900478,35.12451291903318,5000.0,5507738661.097461
2203,8.36,2.27,1.02,1.457,K2/K3III,Giant,0.14012928596561203,75.16927672920133,4700.0,9118694131.111387
2204,8.32,7.95,1.05,0.501,F6V,Dwarf,2.821835643282352,6.357775275846499,6600.0,1344847047.8726697
2205,4.61,17.11,0.77,0.928,K0III SB,Giant,0.776250047705501,41.838834368027776,5000.0,6011155436.488992
2206,9.33,2.8,1.22,0.15,B1II,Giant,1.5657901567110972,20.218458003881832,23500.0,189167475.9396131
2207,8.23,5.79,1.05,0.571,F6/F7V,Dwarf,2.04339281863718,13.022596602987578,6600.0,1924726834.5431182
2208,7.97,4.3,0.7,0.986,K0III,Giant,1.1373422778979325,30.0009905674709,5000.0,5090213131.937553
2209,8.97,1.69,1.44,1.349,K2III,Giant,0.10943352306836829,77.32488439886355,4700.0,9248517066.78826
2210,9.01,1.44,0.98,1.122,K0III,Giant,-0.1981875395237509,102.65349604029,5000.0,9415752670.990955
2211,8.32,4.27,1.23,1.048,K0III,Giant,1.4721393751251188,22.039928524364054,5000.0,4362879926.869906
2212,9.17,2.17,1.36,0.331,F0V,Dwarf,0.8522986692426482,39.00844467867815,7500.0,2579674846.721652
2213,9.7,2.1,1.55,0.418,F5V:,Dwarf,1.311096473669597,25.564099806171953,6750.0,2578195731.5247517
2214,7.37,28.54,0.84,0.653,G3V,Dwarf,4.647269843893142,1.183302141155098,5700.0,777868692.292376
2215,9.41,3.88,1.6,0.437,F2/F3V,Dwarf,2.354158627971037,9.781042863444668,7200.0,1401637688.5227938
2216,9.18,2.16,1.59,0.981,K0III,Giant,0.852268755754654,39.009519481187326,5000.0,5804348367.287367
2217,6.64,3.39,0.78,1.548,K4III,Giant,-0.7090015089845885,164.32716479452725,4400.0,15383583269.135792
2218,8.59,3.96,0.88,0.416,F2II,Giant,1.5784759296275617,19.983588217527522,7200.0,2003456520.234784
2219,9.45,2.5,1.54,1.049,G8III,Giant,1.4397000433601868,22.708400829305926,5200.0,4094442409.7038884
2221,6.2,17.86,0.88,0.459,F2III,Giant,2.459407272762638,8.877356026932611,7200.0,1335318925.9317212
2222,6.69,5.64,0.84,-0.078,B9V,Dwarf,0.4463955199167131,56.692794453020504,11500.0,1322745918.035244
2223,8.23,2.72,0.74,1.474,M0/M1III,Giant,0.40284452017099426,59.01319381110337,3500.0,14569567152.5702
2224,7.24,1.96,0.57,1.39,K2IICNp...,Giant,-1.2987196432176198,282.8838767391586,4700.0,17689540836.516136
2225,7.48,10.3,0.61,0.246,A5III,Giant,2.5441861235258614,8.21051563975383,8750.0,869515421.209295
2226,8.27,7.77,2.24,0.517,F6IV/V,Dwarf,2.7221050940045703,6.969463549378798,6600.0,1408056179.6077385
2227,7.85,4.16,0.77,1.029,K0III,Giant,0.9454666531337139,35.800542836283064,5000.0,5560488869.1697855
2228,9.52,4.4,1.07,0.19,A0V,Dwarf,2.737263382430937,6.872832157212035,10000.0,609082396.0394069
2229,7.06,1.15,0.74,0.63,F5Ib-II,Giant,-2.6365107982319422,969.9535228323924,6750.0,15880935986.85726
2230,9.71,5.46,0.99,0.52,F8/G0V,Dwarf,3.3959632135236877,3.746647820843831,6300.0,1133048540.183385
2231,7.21,21.66,0.87,0.477,F6V,Dwarf,3.8882922614465087,2.3806830831557106,6600.0,822945548.478673
2232,7.78,8.38,0.73,1.085,K1III,Giant,2.396220093151383,9.409352748589779,4850.0,3029734528.281375
2233,8.8,2.56,0.78,1.27,K2III,Giant,0.8411998265592491,39.40926995169216,4700.0,6602549372.965101
2234,7.84,14.21,1.19,0.654,G3/G5V,Dwarf,3.602970389637349,3.096249410810472,5700.0,1258277513.983751
2237,8.26,4.01,1.09,1.194,K2III/IV,Dwarf,1.2757218631009106,26.410768789454014,4700.0,5405090677.90258
2238,6.07,8.72,0.84,1.139,K3III:,Giant,0.7725824246628363,41.980412127224774,4550.0,7271244261.782092
2239,9.05,2.36,1.09,0.342,F2III,Giant,0.9145600148505348,36.83433842533924,7200.0,2720004500.5335927
2240,6.14,6.65,0.66,0.998,K1IV,Dwarf,0.25410822651552323,67.67785059348998,4850.0,8125460434.971486
2241,8.64,8.57,1.23,0.476,F5V,Dwarf,3.3049041096159915,4.0744435155523515,6750.0,1029282961.3981836
2242,8.62,5.37,1.13,0.364,F0IV/V,Dwarf,2.269871428497776,10.57065008653013,7500.0,1342877818.1802528
2243,11.52,9.78,3.14,1.38,K7V:,Dwarf,6.471694273938008,0.22043982402008216,3950.0,699131733.3692533
2244,7.0,7.1,0.68,1.06,K2III,Giant,1.2562917435953764,26.88768877651524,4700.0,5453674313.940224
2245,9.52,3.67,1.45,0.44,F3V,Dwarf,2.3433303212604457,9.879084437777179,7050.0,1469224944.6089032
2246,8.89,3.19,1.35,1.142,K1III,Giant,1.4089534152859056,23.36069753380941,4850.0,4773837201.015158
2247,6.12,9.31,0.9,1.076,K1III,Giant,0.9647484049067145,35.17033722548965,4850.0,5857509040.232631
2248,8.98,8.11,1.3,0.48,F3V,Dwarf,3.525104271055781,3.32647231473766,7050.0,852554009.4233942
2249,8.82,5.29,1.26,1.219,K1IV,Dwarf,2.437278360175929,9.06015519983116,4850.0,2972983643.69408
2250,7.29,6.19,0.72,0.092,A2V,Dwarf,1.24845324510059,27.082517089394646,9500.0,1339693594.411291
2251,9.04,6.58,2.55,0.36,G0V,Dwarf,3.1311294680697763,4.781691685673841,6000.0,1411225654.4449742
2252,8.31,0.82,0.84,1.532,K4/K5III,Giant,-2.120930738081416,603.265899972606,4400.0,29475230778.866535
2253,9.5,18.1,1.47,0.931,K1V,Dwarf,5.788392874345924,0.41364143123555996,4850.0,635238362.2084906
2254,6.87,3.59,0.83,1.638,K5III,Giant,-0.35452775710840356,118.55309637470468,4250.0,14005117895.69602
2255,7.7,27.28,0.96,0.691,G5V,Dwarf,4.879221829922206,0.9556751679779115,5500.0,750823661.0464582
2256,6.84,6.72,0.79,1.101,K1III,Giant,0.976846365269127,34.78060328920234,4850.0,5824964148.324401
2257,7.94,3.1,0.85,0.051,B9/B9.5V,Dwarf,0.3968084691713649,59.34220210548881,11500.0,1353300763.8692276
2258,6.18,9.75,0.84,1.17,K2III,Giant,1.125023078492685,30.343349267085017,4700.0,5793542813.034475
2259,6.57,5.22,1.22,0.056,A0V,Dwarf,0.15835251501131076,73.91808755850435,10000.0,1997485059.1217396
2260,8.2,9.41,1.53,0.5,F5V,Dwarf,3.067948117136284,5.068218748793721,6750.0,1147964104.5379496
2261,6.37,5.54,0.74,1.141,K1III,Giant,0.08754882364215,78.89937970786015,4850.0,8773270012.591497
2262,7.85,7.57,1.06,0.561,F7V,Dwarf,2.245479397500363,10.810828757779344,6450.0,1836192644.4776802
2263,7.85,2.34,0.94,1.61,M0III,Giant,-0.30392071294928513,113.15378613094741,3500.0,20174679066.98678
2264,9.3,10.02,1.27,0.449,F5Vw...,Dwarf,4.304338607656135,1.6228369157624516,6750.0,649588117.4457517
2265,8.6,16.82,2.26,0.612,G2V,Dwarf,4.729129957309466,1.0973622034355064,5800.0,723481099.957479
2266,6.69,3.28,0.79,-0.026,B8IIIp (Si),Giant,-0.7306307814416027,167.6337637216654,13000.0,1779927126.44506
2267,5.38,4.27,0.54,0.008,B9III,Giant,-1.4678606248748824,330.5734032412794,11500.0,3194084874.5808115
2268,8.81,5.36,1.04,1.13,K0/K1III,Giant,2.455823948463852,8.906704374071287,5000.0,2773490538.6067863
2270,7.88,5.58,5.72,0.571,G6:III:+...,Giant,1.6131709946878914,19.35507082156681,5400.0,3505242277.9802737
2271,9.75,4.53,1.55,0.354,F0V,Dwarf,3.030491010064159,5.246128564589554,7500.0,946030452.4359059
2272,10.14,3.22,2.78,0.42,F2V,Dwarf,2.679279358479155,7.249874457090904,7200.0,1206725329.2634237
2273,8.26,3.73,1.23,1.1,K0III,Giant,1.1185441590434397,30.5249675588309,5000.0,5134471828.635218
2274,8.02,1.83,0.86,0.072,B8II,Giant,-0.6677445513478535,158.1997413510258,13000.0,1729116911.6432996
2275,6.09,10.58,0.72,1.012,K0III,Giant,1.212428338495835,27.996239224858545,5000.0,4917201639.472845
2276,4.99,4.41,0.62,-0.071,B8III,Giant,-1.7878070526608063,443.866902116347,13000.0,2896328747.997782
2277,7.02,2.12,0.84,1.666,M1/M2III,Giant,-1.348320695356243,296.1076242638835,3400.0,34583993376.1276
2278,7.21,5.19,0.81,0.903,G8III,Giant,0.7858367892422891,41.47101756793937,5200.0,5533167751.087712
2279,8.66,2.27,0.97,0.957,G8IV,Dwarf,0.44012928596561274,57.02095425339626,5200.0,6488117879.006484
2281,8.88,7.36,1.32,0.453,F3V,Dwarf,3.2143890716874957,4.428698284424596,7050.0,983712050.3759896
2282,8.45,4.11,1.1,0.415,F2/F3IV/V,Dwarf,1.5192091093803448,21.10480597395107,7200.0,2058893428.9982357
2283,8.97,1.74,2.12,0.674,B7IIIe+K3III,Giant,0.17274624141299988,72.944566708184,14500.0,943775390.0912298
2284,9.04,8.98,0.93,0.546,F7V,Dwarf,3.8063816833365216,2.567245643060617,6450.0,894792761.0557212
2285,8.62,1.44,1.17,0.943,G8III,Giant,-0.5881875395237515,147.0216871766112,5200.0,10418188052.582174
2286,8.85,3.21,1.21,1.039,G8III,Giant,1.3825251620243613,23.9363334681062,5200.0,4203686350.0110803
2287,9.23,4.79,1.45,0.377,A9V,Dwarf,2.631677567072817,7.574816863853321,7750.0,1064610737.7023365
2288,6.99,4.33,0.78,1.428,K4III,Giant,0.172439481766828,72.96518010347128,4400.0,10250868324.728117
2289,5.75,33.71,0.72,0.639,G2IV,Dwarf,3.38879376260486,3.7714711779849646,5800.0,1341243369.228408
2290,9.14,1.88,1.28,1.245,K0III,Giant,0.5107892463184012,53.42802363959445,5000.0,6792860948.206733
2291,6.25,16.16,0.96,0.526,F6/F7V,Dwarf,2.292206782192837,10.355405668462888,6600.0,1716342141.3105214
2292,8.01,7.14,1.01,0.988,G8III/IV,Dwarf,2.2784910588808724,10.487058134269967,5200.0,2782456150.99276
2293,7.86,10.41,0.91,0.651,G2/G3IV,Dwarf,2.94725364755268,5.664159949293135,5800.0,1643690124.1799026
2294,8.34,3.84,1.12,0.945,K0III,Giant,1.261656121837655,26.755163909716224,5000.0,4806976265.349946
2295,6.04,12.88,0.65,1.001,K0IV,Dwarf,1.589579315118966,19.780255626559992,5000.0,4133178101.4937534
2296,7.82,2.0,0.87,1.376,K7V,Dwarf,-0.6748500216800934,159.23850689719174,3950.0,18790486982.874542
2297,9.06,4.72,1.07,0.43,F6IV,Dwarf,2.429709993170441,9.123534792830046,6600.0,1611023493.2566857
2298,9.31,9.35,1.26,0.539,F8V,Dwarf,4.16405805436259,1.8466723817613175,6300.0,795466705.1060746
2299,7.33,10.92,0.64,0.444,F2V,Dwarf,2.521113191843593,8.386872840378402,7200.0,1297905924.4698539
2300,8.69,1.48,2.25,1.019,G8III,Giant,-0.45869142302521304,130.49095604561882,5200.0,9815031499.6061
2301,9.64,13.68,1.38,0.817,K0V,Dwarf,5.320430486920488,0.6365289719742941,5000.0,741442126.3741893
2302,7.59,5.36,0.88,1.005,G8IV,Dwarf,1.2358239484638514,27.399396206892515,5200.0,4497508444.751429
2303,6.43,5.76,0.67,0.838,G8III...,Giant,0.2321124171160598,69.06297986900232,5200.0,7140426411.3857565
2304,6.6,7.19,0.74,1.141,K1III,Giant,0.883644451914412,37.89829798235142,4850.0,6080433658.218504
2305,7.68,2.87,1.15,1.549,K4III,Giant,-0.030590516330038398,87.96940297584271,4400.0,11255599922.018684
2306,8.3,5.79,1.84,0.905,G8IV,Dwarf,2.1133928186371804,12.209453165961953,5200.0,3002268971.7793407
2307,8.44,9.13,1.12,0.289,F0V,Dwarf,3.242353887671495,4.316081317658033,7500.0,858085297.783184
2308,8.48,0.38,1.24,1.54,K4/K5III,Giant,-3.621082016915949,2402.1423741420263,4400.0,58816909047.086205
2309,9.31,1.66,1.41,1.285,K2III,Giant,0.41054044020027547,58.59635484187942,4700.0,8050961739.801853
2310,7.71,14.85,0.8,0.446,F5/F6V,Dwarf,3.568632268266157,3.1957430987700146,6750.0,911562734.8629513
2311,9.11,3.45,1.33,0.978,K0III,Giant,1.7990954753663697,16.308774276376965,5000.0,3753002301.598466
2312,9.31,2.26,1.49,1.195,K1/K2III,Giant,1.0805421957370047,31.612347155013143,4850.0,5553324768.782024
2313,5.57,12.55,0.62,1.052,K1III,Giant,1.0632186290852843,32.12081154474371,4850.0,5597807452.361565
2314,8.26,4.64,2.05,0.96,G2V SB,Dwarf,1.592589902774403,19.725481158778464,5800.0,3067368788.653866
2315,8.88,4.92,1.18,1.031,K2V,Dwarf,2.3398255138368036,9.911027683328289,4700.0,3311096263.844705
2316,9.27,5.77,1.1,0.503,F5V,Dwarf,3.075879065778656,5.031330147806016,6750.0,1143778795.2623222
2317,7.59,3.82,0.62,1.341,K2III,Giant,0.5003168145585448,53.94588072107805,4700.0,7724877595.063166
2318,8.64,1.5,1.04,1.606,K5III,Giant,-0.4795437047215927,133.0214676349363,4250.0,14835124178.284502
2319,8.76,18.13,1.01,0.602,G3V,Dwarf,5.051989020477542,0.8150796176209372,5700.0,645592510.7426829
2320,7.53,4.24,0.87,0.98,K0III,Giant,0.6668292829636648,46.275383964081975,5000.0,6321835418.281669
2321,8.28,4.03,0.91,0.148,A3V,Dwarf,1.3065252307055477,25.671963781357196,9250.0,1375796685.0831623
2322,7.42,1.6,0.79,1.524,K4III,Giant,-1.559400086720375,359.65449371306534,4400.0,22758601476.701107
2323,8.41,13.02,1.01,0.53,F5V,Dwarf,3.983054921160866,2.1816981399091544,6750.0,753178585.3679779
2324,7.89,2.13,2.65,1.08,M7/M8IIIe,Giant,-0.46810198280631177,131.62695107956836,2800.0,33998873425.907387
2325,6.09,27.18,4.3,0.632,G2V,Dwarf,3.261247261982377,4.241621363420123,5800.0,1422388198.2902772
2326,7.61,3.45,0.66,1.185,K1/K2III,Giant,0.2990954753663697,64.9308030939089,4850.0,7958845764.2073
2327,8.29,24.75,1.22,0.684,G6Vw...,Dwarf,5.257876016347938,0.6742814189804396,5400.0,654246269.3666996
2328,8.02,17.12,1.0,0.667,G1III,Giant,4.1875188017056715,1.8071953251351869,5900.0,897236024.571713
2329,6.86,4.29,0.85,1.475,K5III,Giant,0.022286460923622187,83.7876124765041,4250.0,11773896834.082602
2331,9.22,0.64,0.93,1.428,K2/K3III:,Giant,-1.7491001300805635,428.3208671543716,4700.0,21766924915.10566
2332,6.31,8.6,0.56,0.912,G5III...,Giant,0.9824922562178386,34.60020274222729,5500.0,4517749237.711754
2333,9.49,4.92,3.74,1.232,K2III:,Giant,2.949825513836803,5.650758042445375,4700.0,2500148577.8958254
2334,8.47,3.52,0.79,0.888,K0III,Giant,1.202713317390657,28.247882304108735,5000.0,4939251237.704226
2335,4.82,12.22,0.59,0.864,G8III,Giant,0.25535602953267755,67.6001113987316,5200.0,7064398620.188331
2336,7.62,3.73,0.94,0.955,G8III,Giant,0.47854415904344094,55.038650584634155,5200.0,6374342281.5939665
2337,9.21,6.04,1.17,0.795,G8V,Dwarf,3.1151846931056593,4.852435745130504,5200.0,1892698281.742464
2338,8.87,2.8,1.48,0.434,F2V,Dwarf,1.1057901567110964,30.885672526948483,7200.0,2490701698.0604277
2339,5.41,5.94,0.73,1.226,K1III,Giant,-0.7210677750940313,166.16368142798416,4850.0,12731886374.0333
2340,9.39,6.77,1.23,0.9,K0IV/V,Dwarf,3.5429433434257227,3.272260983198047,5000.0,1681094537.0511684
2341,6.99,23.8,0.86,0.9,K0IV,Dwarf,3.87288478528256,2.414709434289008,5000.0,1444111110.3689957
2342,9.48,4.5,1.58,0.529,F6V,Dwarf,2.74606256887672,6.817354703328982,6600.0,1392605970.4040952
2343,8.75,1.81,1.09,1.168,K1III,Giant,0.038392874345923644,82.55377431737391,4850.0,8974146772.949251
2344,7.85,1.52,0.75,1.33,K2IIICN...,Giant,-1.2407820602761372,268.18348144904195,4700.0,17223780205.72554
2345,5.64,11.24,0.55,0.078,A2IV,Dwarf,0.8938315561652121,37.54435644974771,9500.0,1577368995.4651563
2346,8.62,14.22,1.17,0.756,G8III,Giant,4.384497981968737,1.5073342058278651,5200.0,1054887797.3532764
2347,7.84,3.22,0.69,1.03,K0III,Giant,0.3792793584791543,60.308100070977794,5000.0,7216988166.8872
2348,8.56,2.75,0.76,0.997,G8/K0III,Giant,0.7566634691513148,42.60048981241693,5200.0,5608010104.988591
2349,9.23,1.06,1.29,0.91,K0III,Giant,-0.6434706736761484,154.7019334213274,5000.0,11558887597.6489
2350,8.2,2.34,0.82,1.311,K2/K3III,Giant,0.04607928705071451,81.97137456717965,4700.0,9522337530.882599
2351,5.92,7.35,0.73,1.327,K2III,Giant,0.25143669542097413,67.844589992093,4700.0,8663035094.01488
2352,9.26,6.03,1.28,0.616,G0V,Dwarf,3.1615865607007567,4.649413102111337,6000.0,1391568999.647133
2353,7.62,2.6,0.61,1.297,K2/K3III,Giant,-0.305133260145908,113.28023276812104,4700.0,11194108937.057066
2354,8.57,3.13,1.25,1.56,K0III,Giant,1.047721687732242,32.58258899789869,5000.0,5304701672.2911
2355,8.92,1.59,0.84,1.106,K1/K2III,Giant,-0.07301437839774394,91.47491663461723,4850.0,9446604049.67337
2356,8.38,3.53,1.3,0.781,K0/K1III+..,Giant,1.1188735269391135,30.515708483893576,5000.0,5133693055.24312
2357,9.86,2.3,1.46,0.157,A3III,Giant,1.6686391800879647,18.391044764852502,9250.0,1164468952.6481352
2358,8.46,22.07,2.88,0.679,G3V,Dwarf,5.179011665808277,0.7250842652884084,5700.0,608909440.7357202
2359,6.25,4.06,0.6,1.634,M2III,Giant,-0.7073698321140309,164.08038238113022,3300.0,27328049047.636387
2360,8.57,12.92,1.23,0.589,G1/G2V,Dwarf,4.126312568295326,1.9120039697344362,5900.0,922887045.8310591
2361,8.45,7.37,1.16,0.435,F3V,Dwarf,2.787337439295257,6.563041222843387,7050.0,1197519269.7865715
2362,6.54,14.04,0.81,0.468,F5IV,Dwarf,2.276835538968932,10.503061681078627,6750.0,1652565153.362924
2363,8.34,4.09,0.71,0.246,A5V,Dwarf,1.3986165400367092,23.584178837559385,8750.0,1473677497.8511374
